algorithm,m,n,q,P,time_median,time_std,speedup,efficiency,cost
1d,128,128,128,4,0.002604,0.000007,1.951187,0.487797,0.010415
1d,128,128,128,16,0.003182,0.000044,1.596560,0.099785,0.050914
2d,128,128,128,4,0.005073,0.000235,1.001438,0.250359,0.020292
2d,128,128,128,16,0.007405,0.000441,0.686071,0.042879,0.118481
ser,128,128,128,1,0.005080,0.000004,1.000000,1.000000,0.005080
1d,256,256,256,4,0.010838,0.000233,7.100810,1.775203,0.043351
1d,256,256,256,16,0.006992,0.000047,11.006730,0.687921,0.111868
2d,256,256,256,4,0.015274,0.000015,5.038519,1.259630,0.061094
2d,256,256,256,16,0.011950,0.000161,6.439751,0.402484,0.191203
ser,256,256,256,1,0.076956,0.000564,1.000000,1.000000,0.076956
1d,512,512,512,4,0.067976,0.000012,6.319260,1.579815,0.271905
1d,512,512,512,16,0.031418,0.001105,13.672356,0.854522,0.502690
2d,512,512,512,4,0.071259,0.000091,6.028133,1.507033,0.285037
2d,512,512,512,16,0.039684,0.000282,10.824626,0.676539,0.634937
ser,512,512,512,1,0.429560,0.022207,1.000000,1.000000,0.429560
1d,1024,1024,1024,4,0.314044,0.020168,7.683115,1.920779,1.256177
1d,1024,1024,1024,16,0.127830,0.001760,18.875328,1.179708,2.045285
2d,1024,1024,1024,4,0.307101,0.017657,7.856823,1.964206,1.228404
2d,1024,1024,1024,16,0.131364,0.001030,18.367612,1.147976,2.101820
ser,1024,1024,1024,1,2.412839,0.138709,1.000000,1.000000,2.412839
1d,2048,2048,2048,4,1.535702,0.087494,48.868374,12.217093,6.142809
1d,2048,2048,2048,16,0.622010,0.036897,120.652873,7.540805,9.952157
2d,2048,2048,2048,4,1.506929,0.101579,49.801453,12.450363,6.027717
2d,2048,2048,2048,16,0.605260,0.023726,123.991862,7.749491,9.684154
ser,2048,2048,2048,1,75.047271,0.558157,1.000000,1.000000,75.047271
