algorithm,m,n,q,P,rep,time_seconds
ser,128,128,128,1,1,0.005080411
ser,128,128,128,1,2,0.005086902
ser,128,128,128,1,3,0.005078496
1d,128,128,128,4,1,0.002600076
1d,128,128,128,4,2,0.002613198
1d,128,128,128,4,3,0.002603754
2d,128,128,128,4,1,0.005071338
2d,128,128,128,4,2,0.005073117
2d,128,128,128,4,3,0.005479635
1d,128,128,128,16,1,0.003140203
1d,128,128,128,16,2,0.003182098
1d,128,128,128,16,3,0.003227327
2d,128,128,128,16,1,0.006671881
2d,128,128,128,16,2,0.007462333
2d,128,128,128,16,3,0.007405080
ser,256,256,256,1,1,0.076344058
ser,256,256,256,1,2,0.076956237
ser,256,256,256,1,3,0.077469770
1d,256,256,256,4,1,0.010837670
1d,256,256,256,4,2,0.011230394
1d,256,256,256,4,3,0.010816486
2d,256,256,256,4,1,0.015273582
2d,256,256,256,4,2,0.015261655
2d,256,256,256,4,3,0.015291279
1d,256,256,256,16,1,0.006991744
1d,256,256,256,16,2,0.006961228
1d,256,256,256,16,3,0.007053791
2d,256,256,256,16,1,0.011950188
2d,256,256,256,16,2,0.011935027
2d,256,256,256,16,3,0.012220937
ser,512,512,512,1,1,0.429559980
ser,512,512,512,1,2,0.444895946
ser,512,512,512,1,3,0.401130461
1d,512,512,512,4,1,0.067976313
1d,512,512,512,4,2,0.067959070
1d,512,512,512,4,3,0.067980926
2d,512,512,512,4,1,0.071333043
2d,512,512,512,4,2,0.071259205
2d,512,512,512,4,3,0.071152839
1d,512,512,512,16,1,0.031418138
1d,512,512,512,16,2,0.033295207
1d,512,512,512,16,3,0.031347040
2d,512,512,512,16,1,0.040051042
2d,512,512,512,16,2,0.039683587
2d,512,512,512,16,3,0.039495797
ser,1024,1024,1024,1,1,2.206525712
ser,1024,1024,1024,1,2,2.470296596
ser,1024,1024,1024,1,3,2.412838679
1d,1024,1024,1024,4,1,0.315806186
1d,1024,1024,1024,4,2,0.280027399
1d,1024,1024,1024,4,3,0.314044343
2d,1024,1024,1024,4,1,0.277093015
2d,1024,1024,1024,4,2,0.307101059
2d,1024,1024,1024,4,3,0.308218445
1d,1024,1024,1024,16,1,0.126439691
1d,1024,1024,1024,16,2,0.127830289
1d,1024,1024,1024,16,3,0.129935631
2d,1024,1024,1024,16,1,0.132238245
2d,1024,1024,1024,16,2,0.131363764
2d,1024,1024,1024,16,3,0.130185634
ser,2048,2048,2048,1,1,75.507810593
ser,2048,2048,2048,1,2,74.396890503
ser,2048,2048,2048,1,3,75.047270919
1d,2048,2048,2048,4,1,1.678340992
1d,2048,2048,2048,4,2,1.535702244
1d,2048,2048,2048,4,3,1.519235372
2d,2048,2048,2048,4,1,1.671972667
2d,2048,2048,2048,4,2,1.486856266
2d,2048,2048,2048,4,3,1.506929333
1d,2048,2048,2048,16,1,0.603506105
1d,2048,2048,2048,16,2,0.674623215
1d,2048,2048,2048,16,3,0.622009813
2d,2048,2048,2048,16,1,0.605259650
2d,2048,2048,2048,16,2,0.604933177
2d,2048,2048,2048,16,3,0.646189672
ser,512,128,512,1,1,0.145067546
ser,512,128,512,1,2,0.137867811
ser,512,128,512,1,3,0.161591711
1d,512,128,512,4,1,0.020103885
1d,512,128,512,4,2,0.019363284
1d,512,128,512,4,3,0.019330863
2d,512,128,512,4,1,0.024320116
2d,512,128,512,4,2,0.024382361
2d,512,128,512,4,3,0.024748333
1d,512,128,512,16,1,0.015196299
1d,512,128,512,16,2,0.015151204
1d,512,128,512,16,3,0.014891395
2d,512,128,512,16,1,0.021263406
2d,512,128,512,16,2,0.021096850
2d,512,128,512,16,3,0.021108143
ser,1024,64,1024,1,1,0.261763414
ser,1024,64,1024,1,2,0.230015396
ser,1024,64,1024,1,3,0.212089387
1d,1024,64,1024,4,1,0.038452431
1d,1024,64,1024,4,2,0.038372872
1d,1024,64,1024,4,3,0.039596520
2d,1024,64,1024,4,1,0.047652735
2d,1024,64,1024,4,2,0.047709510
2d,1024,64,1024,4,3,0.048052693
1d,1024,64,1024,16,1,0.018368429
1d,1024,64,1024,16,2,0.018290052
1d,1024,64,1024,16,3,0.018777855
2d,1024,64,1024,16,1,0.026317297
2d,1024,64,1024,16,2,0.026178419
2d,1024,64,1024,16,3,0.025525406
ser,128,512,128,1,1,0.038875459
ser,128,512,128,1,2,0.039127449
ser,128,512,128,1,3,0.038769080
1d,128,512,128,4,1,0.007278277
1d,128,512,128,4,2,0.007181385
1d,128,512,128,4,3,0.007284364
2d,128,512,128,4,1,0.011407775
2d,128,512,128,4,2,0.011524532
2d,128,512,128,4,3,0.010810813
1d,128,512,128,16,1,0.006409832
1d,128,512,128,16,2,0.005904292
1d,128,512,128,16,3,0.005932178
2d,128,512,128,16,1,0.009650461
2d,128,512,128,16,2,0.009667423
2d,128,512,128,16,3,0.010374836
